0	how are you doing lately meaning?
1	what is the difference between people's and peoples'?
2	what to answer when someone says you are the best?
3	what is the difference of location and position?
4	has hair or have hair?
5	what is the best reply of sup?
6	what is the difference between pic and photo?
7	what is the difference between friend and mate?
8	has costed or has cost?
9	what is the difference between sign in and sign up?
10	what does it mean when someone says i can only imagine?
11	are while and whereas interchangeable?
12	is i love you to or too?
13	could you or can you?
14	is sub question one word?
15	what is difference between printed name and signature?
16	so do i or so am i?
17	what is the difference between a girl lady and a woman?
18	are a twin and double bed the same?
19	what does it mean when you say up?
20	what is the difference between mandatory and compulsory reporting?
21	is it john and i or john and me?
22	what is the meaning of what are you up to now?
23	what is the difference between in and at?
24	when someone says they are a unicorn?
25	you are aging like fine wine?
26	are achievements and accomplishments the same thing?
27	is nearby a compound word?
28	all is plural or singular?
29	is damn considered a swear word?
30	is nowadays a formal word?
31	is i would appreciate rude?
32	is it me either or me neither?
33	what are bull nose pliers?
34	can afford infinitive or gerund?
35	what is the difference between gas and gasoline?
36	what does it mean when you lost yourself?
37	is it labtop or laptop?
38	what is the difference between a right and a responsibility?
39	what are nouns that end ing?
40	have gave or have given?
41	do request or make request?
42	what is the difference between foreign and foreigner?
43	what is the difference between its and their?
44	can you begin a sentence with had?
45	what is the difference between clean and clean up?
46	are modal and auxiliary verbs the same?
47	is furniture singular or plural?
48	can either be used for three options?
49	what is the difference between do you and did you?
50	can okay be an adverb?
51	are your name or is your name?
52	what is the difference between inspite of and despite?
53	what is the difference between east and due east?
54	what is the difference between twin and double bed?
55	can aesthetic be used as an adjective?
56	what is the correct answer of what's up?
57	what is the difference between young and younger?
58	what does it mean when a guy calls you trouble?
59	what is the difference between last and latest?
60	what are sub zero temperatures?
61	please let me know should you have any questions grammar?
62	hope you are enjoying your vacation reply?
63	what is the difference between where are you from and where do you come from?
64	what does it mean when someone says what lies ahead?
65	what is the difference between crush and crash?
66	are quite a bit meaning?
67	is issue and problem the same?
68	is not really my cup of tea?
69	has run or has ran?
70	what is the difference between company and agency?
71	what is the difference between it and there?
72	what do sb and sth stand for?
73	is born or was born?
74	what are coke bottle glasses?
75	what do u say when someone says happy new year?
76	is it thank you in advance or advanced?
77	is faculty a plural noun?
78	is a lot vs are a lot?
79	what does it mean if someone gets jumped?
80	is regards capitalized in best regards?
81	what is the meaning of what are you up to today?
82	why is either pronounced differently?
83	what not my cup of tea?
84	what is the difference between good morning and morning?
85	what is the difference between duties and job description?
86	what is the difference between snacks and junk food?
87	has either or have either?
88	what is the difference between as well and too?
89	what is the best answer for merry christmas?
90	are eyes singular or plural?
91	what is the difference between second and moment?
92	what is the difference between move and movement?
93	what are u up to today?
94	what is the best reply for whats up?
95	who i thought or whom i thought?
96	what do you call it when someone always has to be right?
97	do you or have you?
98	are built or were built?
99	what is the k in money?
100	what is the difference between of and in?
101	what is the difference between working in and working at?
102	have lunch at or in?
103	answer of how old are you?
104	are you a unicorn meaning?
105	what is the answer for where have you been?
106	is problem solver an adjective?
107	has never or have never?
108	is it quite a bit?
109	is either just for two?
110	what is the difference between early and earlier?
111	what does it mean for someone to have a crush on you?
112	what is the difference between local and locale?
113	what is the difference between a line and lane?
114	you are very important to me meaning?
115	what does it mean when you lose yourself?
116	what is the difference between a in school?
117	can example be used as an adjective?
118	when i am done meaning?
119	what is the difference between helping and portion?
120	what is the difference between here you are and here you go?
121	is on bed or in bed?
122	what is the difference between there and over there?
123	how to answer the question do you speak english?
124	what is the difference between noun and nominal?
125	what is the difference between the property and quality?
126	olympic games are or is?
127	what does it mean when someone says they are really into you?
128	is in line one word?
129	what was the difference between rights and responsibilities?
130	are babylon and babel the same?
131	is fled a transitive verb?
132	data is or are correct?
133	what is the difference between right and duties of a citizen?
134	is found a linking verb?
135	what is the difference between where do you come from and where are you from?
136	what are three differences between a disaster and a catastrophe?
137	may vs might vs could?
138	are you ok with it formal?
139	are disease names proper nouns?
140	what is the best reply for happy new year?
141	is moved or has been moved?
142	are like a fine wine?
143	how to answer the question how old are you?
144	what is the meaning of are you for real?
145	may i request or can i request?
146	what is the difference between of and on?
147	is imbibement a real word?
148	what is the answer to would you mind?
149	what is the difference between annual and annualized?
150	is very few grammatically correct?
151	are duplication and replication the same?
152	what is the difference between job description and duties and responsibilities?
153	are breadth and width the same?
154	what is the meaning of where have you been?
155	are you even real meaning?
156	what does it mean when someone says keep in touch?
157	what is the difference between type and sort?
158	how long is a while?
159	are not to be meaning?
160	are you may as well?
161	what is the difference between indian and american indian?
162	what is the difference between make and cook?
163	what does it mean when someone eats a lot?
164	is as you wish rude?
165	what is the difference crush or crash?
166	what is the difference between a and one?
167	what is the difference between a man and a male?
168	what is the difference between direct message and private message?
169	are babel and babylon the same?
170	are you calling me out meaning?
171	when is it classed as evening uk?
172	what is the difference between with and of?
173	what is difference between male and man?
174	what is the difference between a fire and a flame?
175	is it morning or good morning?
176	what is the difference between go and return?
177	what is the difference between i like to play and i like playing?
178	what is the difference between room make up and clean up?
179	what is difference between yellow and pale?
180	is damn a swear word?
181	what is the difference between double bed and twin bed?
182	what is the difference between thank you and thanks?
183	what symbol is on 1 key?
184	do as you will meaning?
185	are created equal or equally?
186	is snow a common noun?
187	what does it mean when a guy says i'm into you?
188	what is the difference between if and should?
189	are characters letters or words?
190	what is the difference between used and employed?
191	what is the difference between child and kid?
192	what it means when a man calls you trouble?
193	can happy be a verb?
194	what is the answer to happy new year?
195	what is difference between business and organization?
196	what does it mean when someone says sure?
197	is all singular or plural?
198	are you born and brought up?
199	is run or is ran?
200	what is the difference between may not and cannot?
201	what is the difference between good in and good at?
202	has finished or have finished?
203	what is the difference between saying thanks and thank you?
204	is infamous a good thing?
205	has or have either of you?
206	what is the difference between position and location?
207	is nope a rude word?
208	all of whom in a sentence?
209	by any chance do you have?
210	the man who does not shrink from self crucifixion?
211	can dozen be used as an adjective?
212	we are run of time?
213	what is error in spelling?
214	what is the difference between will not and won't?
215	what is the meaning of you have my word?
216	are you done vs are you through?
217	what is the difference between flexible and pliable?
218	second and third form of must?
219	you are too soon meaning?
220	how to answer when someone says would you mind?
221	is nanjing the same as nanking?
222	what the difference between early and earlier?
223	is it most common or commonest?
224	what are the basic difference between survey and research?
225	what is the difference between drugstore and pharmacy?
226	is firstly a proper word?
227	what is the difference between a direct object and an object complement?
228	is its singular or plural?
229	what is the difference between sort and type?
230	has there or have there?
231	do as you deem fit meaning?
232	has became or had become?
233	any is any are grammar?
234	what is the difference between want and wish?
235	a and b are or is?
236	what is difference between single and mingle?
237	what is the answer to cheers?
238	what is the meaning of you are welcome to?
239	what is the meaning of see up close?
240	what is the difference between roll and row?
241	i am not in question tag?
242	what are old tvs called?
243	what is the difference between can you and could you?
244	what is the difference between humid and humidity?
245	what is the difference between research questions and survey questions?
246	what is the difference between forged and fake?
247	what is the difference between have and had?
248	what is the difference between if only and only if?
249	what is the difference between man and male?
250	how to write 1 1/2 hours?
251	do picnic or make picnic?
252	how are you doing formal?
253	what are chapters in the bible called?
254	what is the difference between nice to meet you and nice to see you?
255	what is the difference between paper and article?
256	what does it mean when someone jumps you?
257	what is a 2 for 5?
258	what is 2 for 5?
259	what are the difference between industry and industrial?
260	what is the difference between would you mind and do you mind?
261	is albeit a formal word?
262	response when someone says merry christmas?
263	what is the difference between founded and established?
264	i hope you are enjoying your holiday response?
265	what is the difference between each other and each others?
266	user is she or he?
267	is frickin a cuss word?
268	is a bit rich coming from you?
269	what is the difference between on foot and by foot?
270	what is the difference between will not and would not?
271	can you begin a sentence with note?
272	what does it mean when your voice carries?
273	what is the difference between dominant and dominate?
274	is it grammatically correct to say rain is falling?
275	what is the difference between signs and symbols?
276	what is the difference between right and responsibility?
277	what is the difference between template and model?
278	what is the difference between clean up and clean out?
279	what is the difference between old and elderly?
280	what is the difference between introversion and introspection?
281	do adverbs modify nouns and pronouns?
282	what is the difference of have and had?
283	are being or is being?
284	what is the difference between vegetable and vegetables?
285	what does it mean when someone says we will keep in touch?
286	has increased or have increased?
287	can you begin a sentence with maybe?
288	what is the difference between computer science and informatics?
289	are mad and crazy the same thing?
290	what is the difference between g and j?
291	may has or may have?
292	do anyone know or knows?
293	is mustn't a question tag?
294	is it toes or fingers?
295	what is the difference between join and join in?
296	a and b are respectively?
297	what is the difference between in and to?
298	what is the difference between stem and stalk?
299	what is the difference between extra and spare?
300	what are you up to right now meaning?
301	what does it mean when someone says morning blues?
302	what is the difference between immediate and extended family?
303	what to answer when someone says good luck?
304	what does it mean when someone says no need to thank me?
305	second and third form of ought?
306	what does k stand for?
